n1,n2,beta,s1,s2
2,8,5.9,0.795481152,-0.198870288
3,7,5.9,0.696046008,-0.298305432
4,6,5.9,0.596610864,-0.397740576
5,5,5.9,0.49717572,-0.49717572
1,9,5.95,0.895170298,-0.099463366
2,8,5.95,0.795706931,-0.198926733
3,7,5.95,0.696243565,-0.298390099
4,6,5.95,0.596780198,-0.397853466
5,5,5.95,0.497316832,-0.497316832
1,9,6,0.895411376,-0.099490153
2,8,6,0.795921223,-0.198980306
3,7,6,0.69643107,-0.298470459
4,6,6,0.596940917,-0.397960611
5,5,6,0.497450764,-0.497450764
1,9,6.05,0.895640208,-0.099515579
2,8,6.05,0.796124629,-0.199031157
3,7,6.05,0.696609051,-0.298546736
4,6,6.05,0.597093472,-0.398062315
5,5,6.05,0.497577893,-0.497577893
1,9,6.1,0.895857435,-0.099539715
2,8,6.1,0.79631772,-0.19907943
3,7,6.1,0.696778005,-0.298619145
4,6,6.1,0.59723829,-0.39815886
5,5,6.1,0.497698575,-0.497698575
1,9,6.15,0.896063661,-0.099562629
2,8,6.15,0.796501032,-0.199125258
3,7,6.15,0.696938403,-0.298687887
4,6,6.15,0.597375774,-0.398250516
5,5,6.15,0.497813145,-0.497813145
1,9,6.2,0.89625946,-0.099584384
2,8,6.2,0.796675076,-0.199168769
3,7,6.2,0.697090691,-0.298753153
4,6,6.2,0.597506307,-0.398337538
5,5,6.2,0.497921922,-0.497921922
1,9,6.25,0.896445373,-0.099605041
2,8,6.25,0.796840332,-0.199210083
3,7,6.25,0.69723529,-0.298815124
4,6,6.25,0.597630249,-0.398420166
5,5,6.25,0.498025207,-0.498025207
1,9,6.3,0.896621911,-0.099624657
2,8,6.3,0.796997254,-0.199249314
3,7,6.3,0.697372598,-0.29887397
4,6,6.3,0.597747941,-0.398498627
5,5,6.3,0.498123284,-0.498123284
1,9,6.35,0.896789559,-0.099643284
2,8,6.35,0.797146275,-0.199286569
3,7,6.35,0.697502991,-0.298929853
4,6,6.35,0.597859706,-0.398573137
5,5,6.35,0.498216422,-0.498216422
1,9,6.4,0.896948776,-0.099660975
2,8,6.4,0.7972878,-0.19932195
3,7,6.4,0.697626825,-0.298982925
4,6,6.4,0.59796585,-0.3986439
5,5,6.4,0.498304875,-0.498304875
1,9,6.45,0.897099994,-0.099677777
2,8,6.45,0.797422217,-0.199355554
3,7,6.45,0.69774444,-0.299033331
4,6,6.45,0.598066662,-0.398711108
5,5,6.45,0.498388885,-0.498388885
1,9,6.5,0.897243624,-0.099693736
2,8,6.5,0.797549888,-0.199387472
3,7,6.5,0.697856152,-0.299081208
4,6,6.5,0.598162416,-0.398774944
5,5,6.5,0.49846868,-0.49846868
1,9,6.55,0.897380057,-0.099708895
2,8,6.55,0.797671161,-0.19941779
3,7,6.55,0.697962266,-0.299126686
4,6,6.55,0.598253371,-0.398835581
5,5,6.55,0.498544476,-0.498544476
1,9,6.6,0.897509658,-0.099723295
2,8,6.6,0.797786363,-0.199446591
3,7,6.6,0.698063067,-0.299169886
4,6,6.6,0.598339772,-0.398893181
5,5,6.6,0.498616477,-0.498616477
1,9,6.65,0.897632778,-0.099736975
2,8,6.65,0.797895803,-0.199473951
3,7,6.65,0.698158827,-0.299210926
4,6,6.65,0.598421852,-0.398947901
5,5,6.65,0.498684877,-0.498684877
1,9,6.7,0.897749746,-0.099749972
2,8,6.7,0.797999775,-0.199499944
3,7,6.7,0.698249803,-0.299249915
4,6,6.7,0.598499831,-0.398999887
5,5,6.7,0.498749859,-0.498749859
1,9,6.75,0.897860876,-0.09976232
2,8,6.75,0.798098557,-0.199524639
3,7,6.75,0.698336237,-0.299286959
4,6,6.75,0.598573918,-0.399049278
5,5,6.75,0.498811598,-0.498811598
1,9,6.8,0.897966464,-0.099774052
2,8,6.8,0.798192413,-0.199548103
3,7,6.8,0.698418361,-0.299322155
4,6,6.8,0.598644309,-0.399096206
5,5,6.8,0.498870258,-0.498870258
1,9,6.85,0.898066791,-0.099785199
2,8,6.85,0.798281592,-0.199570398
3,7,6.85,0.698496393,-0.299355597
4,6,6.85,0.598711194,-0.399140796
5,5,6.85,0.498925995,-0.498925995
1,9,6.9,0.898162124,-0.099795792
2,8,6.9,0.798366332,-0.199591583
3,7,6.9,0.698570541,-0.299387375
4,6,6.9,0.598774749,-0.399183166
5,5,6.9,0.498978958,-0.498978958
1,9,6.95,0.898252714,-0.099805857
2,8,6.95,0.798446857,-0.199611714
3,7,6.95,0.698641,-0.299417571
4,6,6.95,0.598835143,-0.399223428
5,5,6.95,0.499029286,-0.499029286
1,9,7,0.898338802,-0.099815422
2,8,7,0.79852338,-0.199630845
3,7,7,0.698707957,-0.299446267
4,6,7,0.598892535,-0.39926169
5,5,7,0.499077112,-0.499077112
1,9,7.05,0.898420614,-0.099824513
2,8,7.05,0.798596102,-0.199649025
3,7,7.05,0.698771589,-0.299473538
4,6,7.05,0.598947076,-0.399298051
5,5,7.05,0.499122563,-0.499122563
1,9,7.1,0.898498366,-0.099833152
2,8,7.1,0.798665215,-0.199666304
3,7,7.1,0.698832063,-0.299499455
4,6,7.1,0.598998911,-0.399332607
5,5,7.1,0.499165759,-0.499165759
1,9,7.15,0.898572263,-0.099841363
2,8,7.15,0.7987309,-0.199682725
3,7,7.15,0.698889538,-0.299524088
4,6,7.15,0.599048175,-0.39936545
5,5,7.15,0.499206813,-0.499206813
1,9,7.2,0.898642496,-0.099849166
2,8,7.2,0.79879333,-0.199698333
3,7,7.2,0.698944164,-0.299547499
4,6,7.2,0.599094998,-0.399396665
5,5,7.2,0.499245831,-0.499245831
1,9,7.25,0.898709251,-0.099856583
2,8,7.25,0.798852668,-0.199713167
3,7,7.25,0.698996084,-0.29956975
4,6,7.25,0.599139501,-0.399426334
5,5,7.25,0.499282917,-0.499282917
1,9,7.3,0.898772702,-0.099863634
2,8,7.3,0.798909069,-0.199727267
3,7,7.3,0.699045435,-0.299590901
4,6,7.3,0.599181802,-0.399454534
5,5,7.3,0.499318168,-0.499318168
1,9,7.35,0.898833015,-0.099870335
2,8,7.35,0.79896268,-0.19974067
3,7,7.35,0.699092345,-0.299611005
4,6,7.35,0.59922201,-0.39948134
5,5,7.35,0.499351675,-0.499351675
