n1,n2,beta,s1,s2
2,8,8.9,0.799781276,-0.199945319
3,7,8.9,0.699808616,-0.299917978
4,6,8.9,0.599835957,-0.399890638
5,5,8.9,0.499863297,-0.499863297
1,9,9,0.899777395,-0.099975266
2,8,9,0.799802129,-0.199950532
3,7,9,0.699826863,-0.299925798
4,6,9,0.599851597,-0.399901064
5,5,9,0.49987633,-0.49987633
1,9,9.1,0.899798614,-0.099977624
2,8,9.1,0.799820991,-0.199955248
3,7,9.1,0.699843367,-0.299932871
4,6,9.1,0.599865743,-0.399910495
5,5,9.1,0.499888119,-0.499888119
1,9,9.2,0.899817808,-0.099979756
2,8,9.2,0.799838052,-0.199959513
3,7,9.2,0.699858295,-0.299939269
4,6,9.2,0.599878539,-0.399919026
5,5,9.2,0.499898782,-0.499898782
1,9,9.3,0.899835171,-0.099981686
2,8,9.3,0.799853485,-0.199963371
3,7,9.3,0.6998718,-0.299945057
4,6,9.3,0.599890114,-0.399926743
5,5,9.3,0.499908428,-0.499908428
1,9,9.4,0.899850877,-0.099983431
2,8,9.4,0.799867446,-0.199966862
3,7,9.4,0.699884015,-0.299950292
4,6,9.4,0.599900585,-0.399933723
5,5,9.4,0.499917154,-0.499917154
1,9,9.5,0.899865085,-0.099985009
2,8,9.5,0.799880075,-0.199970019
3,7,9.5,0.699895066,-0.299955028
4,6,9.5,0.599910057,-0.399940038
5,5,9.5,0.499925047,-0.499925047
1,9,9.6,0.899877938,-0.099986438
2,8,9.6,0.7998915,-0.199972875
3,7,9.6,0.699905063,-0.299959313
4,6,9.6,0.599918625,-0.39994575
5,5,9.6,0.499932188,-0.499932188
1,9,9.7,0.899889565,-0.099987729
2,8,9.7,0.799901836,-0.199975459
3,7,9.7,0.699914106,-0.299963188
4,6,9.7,0.599926377,-0.399950918
5,5,9.7,0.499938647,-0.499938647
1,9,9.8,0.899900084,-0.099988898
2,8,9.8,0.799911186,-0.199977796
3,7,9.8,0.699922288,-0.299966695
4,6,9.8,0.599933389,-0.399955593
5,5,9.8,0.499944491,-0.499944491
1,9,9.9,0.8999096,-0.099989956
2,8,9.9,0.799919645,-0.199979911
3,7,9.9,0.699929689,-0.299969867
4,6,9.9,0.599939734,-0.399959822
5,5,9.9,0.499949778,-0.499949778
1,9,10,0.89991821,-0.099990912
2,8,10,0.799927297,-0.199981824
3,7,10,0.699936385,-0.299972737
4,6,10,0.599945473,-0.399963649
5,5,10,0.499954561,-0.499954561
