beta,group,n_1,n_2,s_1,s_2,stable
2.4,,5,3,0.2469636226522513,-0.4116060377537522,False
2.4,,6,2,0.16464241510270192,-0.4939272453081058,False
2.4,,7,1,0.08232120755073002,-0.5762484528551102,False
2.45,,1,7,0.6002360602527866,-0.08574800860754095,False
2.45,,2,6,0.5144880516499183,-0.1714960172166394,True
2.45,,3,5,0.4287400430390224,-0.2572440258234134,True
2.45,,4,4,0.3429920344304601,-0.3429920344304601,False
2.45,,5,3,0.2572440258226383,-0.4287400430377305,False
2.45,,6,2,0.17149601721508131,-0.5144880516452439,False
2.45,,7,1,0.08574800860765212,-0.6002360602535648,False
2.5,,1,7,0.621610310551884,-0.08880147293598342,False
2.5,,2,6,0.5328088376173531,-0.17760294587245107,True
2.5,,3,5,0.4440073646802821,-0.2664044188081693,True
2.5,,4,4,0.35520589174400297,-0.35520589174400297,False
2.5,,5,3,0.2664044188079508,-0.444007364679918,False
2.5,,6,2,0.17760294587193304,-0.532808837615799,False
2.5,,7,1,0.08880147293878846,-0.6216103105715192,False
2.55,,1,7,0.6407757355926892,-0.0915393907989556,False
2.55,,2,6,0.5492363447941885,-0.18307878159806285,True
2.55,,3,5,0.4576969539948804,-0.2746181723969282,True
2.55,,4,4,0.3661575631958381,-0.3661575631958381,False
2.55,,5,3,0.2746181723968653,-0.4576969539947756,False
2.55,,6,2,0.18307878159785526,-0.5492363447935659,False
2.55,,7,1,0.0915393907989546,-0.6407757355926823,False
2.6,,1,7,0.6580504320736745,-0.09400720458195352,False
2.6,,2,6,0.5640432274918641,-0.18801440916395468,True
2.6,,3,5,0.4700360229097959,-0.28202161374587753,True
2.6,,4,4,0.3760288183278164,-0.3760288183278164,False
2.6,,5,3,0.2820216137458585,-0.4700360229097642,False
2.6,,6,2,0.18801440916387646,-0.5640432274916296,False
2.6,,7,1,0.09400720458195257,-0.6580504320736678,False
2.65,,1,7,0.6736898463792171,-0.09624140662560243,False
2.65,,2,6,0.5774484397536597,-0.1924828132512199,True
2.65,,3,5,0.4812070331280194,-0.2887242198768116,True
2.65,,4,4,0.38496562650240895,-0.38496562650240895,False
2.65,,5,3,0.2887242198768054,-0.481207033128009,False
2.65,,6,2,0.19248281325119587,-0.5774484397535876,False
2.65,,7,1,0.09624140662560143,-0.6736898463792101,False
2.7,,1,7,0.6879026705261431,-0.09827181007516328,False
2.7,,2,6,0.5896308604509937,-0.1965436201503312,True
2.7,,3,5,0.4913590503758173,-0.2948154302254904,True
2.7,,4,4,0.3930872403006514,-0.3930872403006514,False
2.7,,5,3,0.2948154302368233,-0.4913590503947056,False
2.7,,6,2,0.19654362015032426,-0.5896308604509728,False
2.7,,7,1,0.09827181007516236,-0.6879026705261366,False
2.75,,1,7,0.7008618540782782,-0.1001231220111826,False
2.75,,2,6,0.6007387320670994,-0.20024624402236646,True
2.75,,3,5,0.5006156100559122,-0.3003693660335473,True
2.75,,4,4,0.4004924880447285,-0.4004924880447285,False
2.75,,5,3,0.3003693660376855,-0.5006156100628092,False
2.75,,6,2,0.2002462440223636,-0.6007387320670908,False
2.75,,7,1,0.10012312201118168,-0.7008618540782718,False
2.8,,1,7,0.7127124648109359,-0.10181606640156228,True
2.8,,2,6,0.610896398409374,-0.20363213280312467,True
2.8,,3,5,0.50908033200781,-0.305448199204686,True
2.8,,4,4,0.40726426564436136,-0.40726426564436136,False
2.8,,5,3,0.3054481992062001,-0.5090803320103335,False
2.8,,6,2,0.20363213280312292,-0.6108963984093689,False
2.8,,7,1,0.10181606640156136,-0.7127124648109294,False
2.85,,1,7,0.7235774442017591,-0.10336820631453698,True
2.85,,2,6,0.6202092378872215,-0.20673641262907386,True
2.85,,3,5,0.5168410316495625,-0.31010461898973746,True
2.85,,4,4,0.4134728252757279,-0.4134728252757279,False
2.85,,5,3,0.3101046189441639,-0.5168410315736065,False
2.85,,6,2,0.20673641262907216,-0.6202092378872165,False
2.85,,7,1,0.10336820631453608,-0.7235774442017526,False
2.9,,1,7,0.733561914005376,-0.10479455914362514,True
2.9,,2,6,0.6287673551720953,-0.2095891183906984,True
2.9,,3,5,0.5239727959108177,-0.3143836775464906,True
2.9,,4,4,0.4191782367064029,-0.4191782367064029,False
2.9,,5,3,0.31438367752387564,-0.5239727958731261,False
2.9,,6,2,0.20958911834911312,-0.6287673550473394,False
2.9,,7,1,0.10479455917455732,-0.7335619142219012,False
2.95,,1,7,0.7427564613222808,-0.10610806590318296,True
2.95,,2,6,0.6366483954891992,-0.21221613182973306,True
2.95,,3,5,0.5305403295398216,-0.3183241977238929,True
2.95,,4,4,0.4244322636205412,-0.4244322636205412,False
2.95,,5,3,0.3183241977126105,-0.5305403295210175,False
2.95,,6,2,0.2122161318083527,-0.636648395425058,False
2.95,,7,1,0.10610806590417857,-0.74275646132925,False
3.0,,1,7,0.7512396820599045,-0.10731995457998636,True
3.0,,2,6,0.643919727513169,-0.21463990917105635,True
3.0,,3,5,0.5365997729095404,-0.3219598637457243,True
3.0,,4,4,0.4292798183218546,-0.4292798183218546,False
3.0,,5,3,0.3219598637400656,-0.5365997729001094,False
3.0,,6,2,0.214639909160017,-0.6439197274800509,False
3.0,,7,1,0.10731995458001264,-0.7512396820600884,False
3.05,,1,7,0.7590801849820442,-0.10844002642600632,True
3.05,,2,6,0.6506401585731808,-0.2168800528577269,True
3.05,,3,5,0.5422001321348029,-0.3253200792808817,True
3.05,,4,4,0.4337601057048802,-0.4337601057048802,False
3.05,,5,3,0.3253200792780285,-0.5422001321300476,False
3.05,,6,2,0.216880052852,-0.6506401585559999,False
3.05,,7,1,0.1084400264301532,-0.7590801850110724,False
3.1,,1,7,0.7663381853943038,-0.10947688362775768,True
3.1,,2,6,0.6568613017754628,-0.2189537672584876,True
3.1,,3,5,0.5473844181412054,-0.32843065088472323,True
3.1,,4,4,0.4379075345114395,-0.4379075345114395,False
3.1,,5,3,0.328430650883277,-0.547384418138795,False
3.1,,6,2,0.21895376725550011,-0.6568613017665005,False
3.1,,7,1,0.10947688363029999,-0.7663381854121001,False
3.1500000000000004,,1,7,0.7730667901942414,-0.11043811288489164,True
