beta,n_1,s_1,s_2,group,stable
1.6,3,0.316,0.316,1.0,True
1.6,4,0.316,0.316,1.0,True
1.6,5,0.316,0.316,1.0,True
1.6400000000000001,1,0.316,0.316,1.0,True
1.6400000000000001,2,0.316,0.316,1.0,True
1.6400000000000001,3,0.316,0.316,1.0,True
1.6400000000000001,4,0.316,0.316,1.0,True
1.6400000000000001,5,0.316,0.316,1.0,True
1.68,1,0.316,0.316,1.0,True
1.68,2,0.316,0.316,1.0,True
1.68,3,0.316,0.316,1.0,True
1.68,4,0.316,0.316,1.0,True
1.68,5,0.316,0.316,1.0,True
1.72,1,0.316,0.316,1.0,True
1.72,2,0.316,0.316,1.0,True
1.72,3,0.316,0.316,1.0,True
1.72,4,0.316,0.316,1.0,True
1.72,5,0.316,0.316,1.0,True
1.76,1,0.316,0.316,1.0,True
1.76,2,0.316,0.316,1.0,True
1.76,3,0.316,0.316,1.0,True
1.76,4,0.316,0.316,1.0,True
1.76,5,0.316,0.316,1.0,True
1.8,1,0.316,0.316,1.0,True
1.8,2,0.316,0.316,1.0,True
1.8,3,0.316,0.316,1.0,True
1.8,4,0.316,0.316,1.0,True
1.8,5,0.316,0.316,1.0,True
1.84,1,0.316,0.316,1.0,True
1.84,2,0.316,0.316,1.0,True
1.84,3,0.316,0.316,1.0,True
1.84,4,0.316,0.316,1.0,True
1.84,5,0.316,0.316,1.0,True
1.8800000000000001,1,0.316,0.316,1.0,True
1.8800000000000001,2,0.316,0.316,1.0,True
1.8800000000000001,3,0.316,0.316,1.0,True
1.8800000000000001,4,0.316,0.316,1.0,True
1.8800000000000001,5,0.316,0.316,1.0,True
1.92,1,0.316,0.316,1.0,True
1.92,2,0.316,0.316,1.0,True
1.92,3,0.316,0.316,1.0,True
1.92,4,0.316,0.316,1.0,True
1.92,5,0.316,0.316,1.0,True
1.96,1,0.316,0.316,1.0,True
1.96,2,0.316,0.316,1.0,True
1.96,3,0.316,0.316,1.0,True
1.96,4,0.316,0.316,1.0,True
1.96,5,0.316,0.316,1.0,True
2.0,1,0.316,0.316,1.0,True
2.0,2,0.316,0.316,1.0,True
2.0,3,0.316,0.316,1.0,True
2.0,4,0.316,0.316,1.0,True
2.0,5,0.316,0.316,1.0,True
2.04,1,0.316,0.316,1.0,True
2.04,2,0.316,0.316,1.0,True
2.04,3,0.316,0.316,1.0,True
2.04,4,0.316,0.316,1.0,True
2.04,5,0.316,0.316,1.0,True
2.08,1,0.316,0.316,1.0,True
2.08,2,0.316,0.316,1.0,True
2.08,3,0.316,0.316,1.0,True
2.08,4,0.316,0.316,1.0,True
2.08,5,0.316,0.316,1.0,True
2.12,1,0.316,0.316,1.0,True
2.12,2,0.316,0.316,1.0,True
2.12,3,0.316,0.316,1.0,True
2.12,4,0.316,0.316,1.0,True
2.12,5,0.316,0.316,1.0,True
2.16,1,0.316,0.316,1.0,True
2.16,2,0.316,0.316,1.0,True
2.16,3,0.316,0.316,1.0,True
2.16,4,0.316,0.316,1.0,True
2.16,5,0.316,0.316,1.0,True
2.2,1,0.316,0.316,1.0,True
2.2,2,0.316,0.316,1.0,True
2.2,3,0.316,0.316,1.0,True
2.2,4,0.316,0.316,1.0,True
2.2,5,0.316,0.316,1.0,True
2.24,1,0.316,0.316,1.0,True
2.24,2,0.316,0.316,1.0,True
2.24,3,0.316,0.316,1.0,True
2.24,4,0.316,0.316,1.0,True
2.24,5,0.316,0.316,1.0,True
2.2800000000000002,1,0.316,0.316,1.0,True
2.2800000000000002,2,0.316,0.316,1.0,True
2.2800000000000002,3,0.316,0.316,1.0,True
2.2800000000000002,4,0.316,0.316,1.0,True
2.2800000000000002,5,0.316,0.316,1.0,True
2.32,1,0.316,0.316,1.0,True
2.32,2,0.316,0.316,1.0,True
2.32,3,0.316,0.316,1.0,True
2.32,4,0.316,0.316,1.0,True
2.32,5,0.316,0.316,1.0,True
2.36,1,0.316,0.316,1.0,True
2.36,2,0.316,0.316,1.0,True
2.36,3,0.316,0.316,1.0,True
2.36,4,0.316,0.316,1.0,True
2.36,5,0.316,0.316,1.0,True
2.4,1,0.316,0.316,1.0,True
2.4,2,0.316,0.316,1.0,True
2.4,3,0.316,0.316,1.0,True
2.4,4,0.316,0.316,1.0,True
2.4,5,0.316,0.316,1.0,True
2.44,1,0.316,0.316,1.0,True
2.44,2,0.316,0.316,1.0,True
2.44,3,0.316,0.316,1.0,True
2.44,4,0.316,0.316,1.0,True
2.44,5,0.316,0.316,1.0,True
2.48,1,0.316,0.316,1.0,True
2.48,2,0.316,0.316,1.0,True
2.48,3,0.316,0.316,1.0,True
2.48,4,0.316,0.316,1.0,True
2.48,5,0.316,0.316,1.0,True
2.52,1,0.316,0.316,1.0,True
2.52,2,0.316,0.316,1.0,True
2.52,3,0.316,0.316,1.0,True
2.52,4,0.316,0.316,1.0,True
2.52,5,0.316,0.316,1.0,True
2.56,1,0.316,0.316,1.0,True
2.56,2,0.316,0.316,1.0,True
2.56,3,0.316,0.316,1.0,True
2.56,4,0.316,0.316,1.0,True
2.56,5,0.316,0.316,1.0,True
2.6,1,0.316,0.316,1.0,True
2.6,2,0.316,0.316,1.0,True
2.6,3,0.316,0.316,1.0,True
2.6,4,0.316,0.316,1.0,True
2.6,5,0.316,0.316,1.0,True
2.64,1,0.316,0.316,1.0,True
2.64,2,0.316,0.316,1.0,True
2.64,3,0.316,0.316,1.0,True
2.64,4,0.316,0.316,1.0,True
2.64,5,0.316,0.316,1.0,True
2.68,1,0.316,0.316,1.0,True
2.68,2,0.316,0.316,1.0,True
2.68,3,0.316,0.316,1.0,True
2.68,4,0.316,0.316,1.0,True
2.68,5,0.316,0.316,1.0,True
2.72,1,0.316,0.316,1.0,True
2.72,2,0.316,0.316,1.0,True
2.72,3,0.316,0.316,1.0,True
2.72,4,0.316,0.316,1.0,True
2.72,5,0.316,0.316,1.0,True
2.7600000000000002,1,0.316,0.316,1.0,True
2.7600000000000002,2,0.316,0.316,1.0,True
2.7600000000000002,3,0.316,0.316,1.0,True
2.7600000000000002,4,0.316,0.316,1.0,True
2.7600000000000002,5,0.316,0.316,1.0,True
2.8000000000000003,1,0.316,0.316,1.0,True
2.8000000000000003,2,0.316,0.316,1.0,True
2.8000000000000003,3,0.316,0.316,1.0,True
2.8000000000000003,4,0.316,0.316,1.0,True
2.8000000000000003,5,0.316,0.316,1.0,True
2.84,1,0.316,0.316,1.0,True
2.84,1,0.974,0.076,2.0,True
2.84,2,0.316,0.316,1.0,True
2.84,3,0.316,0.316,1.0,True
2.84,4,0.316,0.316,1.0,True
2.84,5,0.316,0.316,1.0,True
2.88,1,0.316,0.316,1.0,True
2.88,1,0.976,0.072,2.0,True
2.88,2,0.316,0.316,1.0,True
2.88,3,0.316,0.316,1.0,True
2.88,4,0.316,0.316,1.0,True
2.88,5,0.316,0.316,1.0,True
2.92,1,0.316,0.316,1.0,True
2.92,1,0.979,0.069,2.0,True
2.92,2,0.316,0.316,1.0,True
2.92,3,0.316,0.316,1.0,True
2.92,4,0.316,0.316,1.0,True
2.92,5,0.316,0.316,1.0,True
2.96,1,0.316,0.316,1.0,True
2.96,1,0.981,0.065,2.0,True
2.96,2,0.316,0.316,1.0,True
2.96,2,0.64,0.15,2.0,False
2.96,3,0.316,0.316,1.0,True
2.96,4,0.316,0.316,1.0,True
2.96,5,0.316,0.316,1.0,True
3.0,1,0.316,0.316,1.0,True
3.0,1,0.982,0.062,2.0,True
3.0,2,0.316,0.316,1.0,True
3.0,2,0.647,0.142,2.0,False
3.0,3,0.316,0.316,1.0,True
3.0,4,0.316,0.316,1.0,True
3.0,5,0.316,0.316,1.0,True
3.04,1,0.316,0.316,1.0,True
3.04,1,0.984,0.059,2.0,True
3.04,2,0.316,0.316,1.0,True
3.04,2,0.653,0.135,2.0,False
3.04,3,0.316,0.316,1.0,True
3.04,3,0.47,0.219,2.0,False
3.04,4,0.316,0.316,1.0,True
3.04,5,0.316,0.316,1.0,True
3.08,1,0.316,0.316,1.0,True
3.08,1,0.986,0.056,2.0,True
3.08,2,0.316,0.316,1.0,True
3.08,2,0.658,0.129,2.0,False
3.08,3,0.316,0.316,1.0,True
3.08,3,0.487,0.203,2.0,False
3.08,4,0.316,0.316,1.0,True
3.08,5,0.316,0.316,1.0,True
3.12,1,0.316,0.316,1.0,True
3.12,1,0.987,0.054,2.0,True
3.12,2,0.316,0.316,1.0,True
3.12,2,0.663,0.123,2.0,False
3.12,3,0.316,0.316,1.0,True
3.12,3,0.498,0.191,2.0,False
3.12,4,0.316,0.316,1.0,True
3.12,4,0.34,0.299,2.0,True
3.12,5,0.316,0.316,1.0,True
3.16,1,0.316,0.316,1.0,True
3.16,1,0.988,0.051,2.0,True
3.16,2,0.316,0.316,1.0,True
3.16,2,0.667,0.118,2.0,False
3.16,3,0.316,0.316,1.0,True
3.16,3,0.507,0.181,2.0,False
3.16,4,0.316,0.316,1.0,True
3.16,4,0.399,0.246,2.0,False
3.16,5,0.316,0.316,1.0,True
3.16,5,0.325,0.307,2.0,True
3.2,1,0.316,0.316,1.0,True
3.2,1,0.989,0.049,2.0,True
3.2,2,0.316,0.316,1.0,True
3.2,2,0.67,0.112,2.0,False
3.2,3,0.316,0.316,1.0,True
3.2,3,0.514,0.172,2.0,False
3.2,4,0.316,0.316,1.0,True
3.2,4,0.414,0.229,2.0,False
3.2,5,0.316,0.316,1.0,True
3.2,5,0.351,0.277,2.0,False
3.24,1,0.316,0.316,1.0,True
3.24,1,0.99,0.047,2.0,True
3.24,2,0.316,0.316,1.0,True
3.24,2,0.674,0.108,2.0,False
3.24,3,0.316,0.316,1.0,True
3.24,3,0.52,0.164,2.0,False
3.24,4,0.316,0.316,1.0,True
3.24,4,0.424,0.216,2.0,False
3.24,5,0.316,0.316,1.0,True
3.24,5,0.365,0.258,2.0,False
3.2800000000000002,1,0.316,0.316,1.0,True
3.2800000000000002,1,0.991,0.044,2.0,True
3.2800000000000002,2,0.316,0.316,1.0,True
3.2800000000000002,2,0.676,0.103,2.0,False
3.2800000000000002,3,0.316,0.316,1.0,True
3.2800000000000002,3,0.525,0.157,2.0,False
3.2800000000000002,4,0.316,0.316,1.0,True
3.2800000000000002,4,0.432,0.206,2.0,False
3.2800000000000002,5,0.316,0.316,1.0,True
3.2800000000000002,5,0.374,0.245,2.0,False
3.3200000000000003,1,0.316,0.316,1.0,True
3.3200000000000003,1,0.992,0.042,2.0,True
3.3200000000000003,2,0.316,0.316,1.0,True
3.3200000000000003,2,0.679,0.099,2.0,False
3.3200000000000003,3,0.316,0.316,1.0,True
3.3200000000000003,3,0.53,0.15,2.0,False
3.3200000000000003,4,0.316,0.316,1.0,True
3.3200000000000003,4,0.439,0.196,2.0,False
3.3200000000000003,5,0.316,0.316,1.0,True
3.3200000000000003,5,0.382,0.233,2.0,False
3.36,1,0.316,0.316,1.0,True
3.36,1,0.993,0.04,2.0,True
3.36,2,0.316,0.316,1.0,True
3.36,2,0.681,0.095,2.0,False
3.36,3,0.316,0.316,1.0,True
3.36,3,0.534,0.144,2.0,False
3.36,4,0.316,0.316,1.0,True
3.36,4,0.444,0.188,2.0,False
3.36,5,0.316,0.316,1.0,True
3.36,5,0.388,0.223,2.0,False
3.4,1,0.316,0.316,1.0,True
3.4,1,0.993,0.039,2.0,True
3.4,2,0.316,0.316,1.0,True
3.4,2,0.683,0.091,2.0,False
3.4,3,0.316,0.316,1.0,True
3.4,3,0.537,0.138,2.0,False
3.4,4,0.316,0.316,1.0,True
3.4,4,0.449,0.18,2.0,False
3.4,5,0.316,0.316,1.0,True
3.4,5,0.393,0.213,2.0,False
3.44,1,0.316,0.316,1.0,True
3.44,1,0.994,0.037,2.0,True
3.44,2,0.316,0.316,1.0,True
3.44,2,0.685,0.088,2.0,False
3.44,3,0.316,0.316,1.0,True
3.44,3,0.54,0.133,2.0,False
3.44,4,0.316,0.316,1.0,True
3.44,4,0.453,0.173,2.0,False
3.44,5,0.316,0.316,1.0,True
3.44,5,0.397,0.205,2.0,False
3.48,1,0.316,0.316,1.0,True
3.48,1,0.994,0.035,2.0,True
3.48,2,0.316,0.316,1.0,True
3.48,2,0.687,0.084,2.0,False
3.48,3,0.316,0.316,1.0,True
3.48,3,0.543,0.128,2.0,False
3.48,4,0.316,0.316,1.0,True
3.48,4,0.457,0.166,2.0,False
3.48,5,0.316,0.316,1.0,True
3.48,5,0.401,0.197,2.0,False
3.52,1,0.316,0.316,1.0,True
3.52,1,0.995,0.034,2.0,True
3.52,2,0.316,0.316,1.0,True
3.52,2,0.688,0.081,2.0,False
3.52,3,0.316,0.316,1.0,True
3.52,3,0.546,0.123,2.0,False
3.52,4,0.316,0.316,1.0,True
3.52,4,0.46,0.16,2.0,False
3.52,5,0.316,0.316,1.0,True
3.52,5,0.405,0.19,2.0,False
3.56,1,0.316,0.316,1.0,True
3.56,1,0.995,0.032,2.0,True
3.56,2,0.316,0.316,1.0,True
3.56,2,0.69,0.078,2.0,False
3.56,3,0.316,0.316,1.0,True
3.56,3,0.548,0.119,2.0,False
3.56,4,0.316,0.316,1.0,True
3.56,4,0.463,0.154,2.0,False
